,Unnamed: 0,date,plant_id,tray,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_convex_hull_vertices,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants
116,6,Jun-21-2023,plant6,T01,941,1150,0.818260869565217,177.681239366531,51,34,344,19,47.6629905700683,29.1008930206298,76.0988464355468,0.791973602368133,55
117,7,Jun-21-2023,plant7,T01,1252,1677.5,0.746348733233979,199.92387998104,46,61,459,19,60.9408836364746,33.7545013427734,24.0092124938964,0.832590343660091,55
118,8,Jun-21-2023,plant8,T01,1323,1666.5,0.793879387938793,203.92387998104,56,57,496,21,71.4035110473632,28.1863498687744,46.8944015502929,0.918789690499576,55
119,9,Jun-21-2023,plant9,T01,1456,1736,0.838709677419354,287.881917238235,70,34,467,23,68.5342559814453,29.9557037353515,90.4681701660156,0.899417307340269,55
120,10,Jun-21-2023,plant10,T01,810,1215,0.666666666666666,164.267025828361,37,51,336,15,50.4093132019043,32.3651275634765,23.6290397644042,0.766665623567021,55
121,11,Jun-21-2023,plant11,T01,1696,2085,0.813429256594724,224.651801824569,86,31,594,20,91.6402816772461,27.1604976654052,92.5314559936523,0.955069588561915,55
122,12,Jun-21-2023,plant12,T01,1577,1993.5,0.791070980687233,225.58073413372,62,50,498,16,66.644058227539,38.5769424438476,123.035934448242,0.815433729890663,55
123,13,Jun-21-2023,plant13,T01,801,1110,0.721621621621621,183.438598752021,36,43,320,17,43.621726989746,30.2286720275878,35.9764976501464,0.720963690726823,55
124,14,Jun-21-2023,plant14,T01,507,609,0.832512315270935,127.154327988624,24,40,288,14,43.4481124877929,16.2497100830078,159.146896362304,0.927427626679101,55
125,15,Jun-21-2023,plant15,T01,895,1115,0.802690582959641,156.953317523002,35,54,357,19,61.0351791381836,23.2402153015136,162.39192199707,0.924670793793047,55
126,16,Jun-21-2023,plant16,T01,1228,1589.5,0.77256999056307,216.75230705738,51,49,374,22,56.6216354370117,32.389045715332,42.1872444152832,0.820235511338431,55
127,17,Jun-21-2023,plant17,T01,1041,1272.5,0.818074656188605,165.053822755813,43,45,304,17,43.9655418395996,39.2184104919433,25.0868473052978,0.451983904906258,55
