date,plant_id,tray_id,LFW_g,LDW_g,LA_mm2,actual_height_cm,area,perimeter,width,length,convex_hull,compactness,R_channel,G_channel,B_channel,H_channel,S_channel,V_channel,height_cm_max,height_cm_mode,e_minoraxis,e_majoraxis,e_eccentricity
07-Jul,1,6,99.38,5.74,1193.06,15.5,26127,881.7787802,246,187,31929.5,0.818271504,62,67,24,34,169,67,14.3,11.7,159.1431732,227.8213501,0.715567378
07-Jul,2,6,97.28,5.49,1076.018,14.8,21626,699.2102387,170,193,25071,0.862590244,63,68,27,34,162,68,13.8,11,157.7724915,185.0228577,0.522370025
07-Jul,3,6,94.87,5.36,1118.34,15,21607.5,727.7960252,171,199,25313.5,0.853595907,60,67,31,37,148,67,11.1,10.1,159.9774628,184.5730743,0.498754621
07-Jul,4,6,92.59,5.41,1075.26,14.8,19925,641.4701242,177,159,22403.5,0.889369965,60,65,27,35,160,65,13.8,10.9,154.6986237,175.4026184,0.471318603
07-Jul,5,6,94.13,5.43,1131.44,14.5,25816,790.9503531,217,184,29745,0.867910573,62,67,23,34,175,67,13.6,11,167.4881592,209.3160095,0.599774746
07-Jul,6,6,109.56,6.39,1144.855,15.7,29572.5,857.5361396,243,178,32985,0.896543884,63,66,24,32,172,66,16.5,13.6,161.2968597,243.246933,0.748531482
07-Jul,7,6,134.86,7.53,1480.26,15.5,27043.5,774.9675981,235,195,30826,0.87729514,61,65,23,33,173,65,14.8,13.3,174.7290344,210.5227966,0.557797931
07-Jul,8,6,114.82,6.4,1667.401,15.4,19792.5,646.5411919,178,164,22078.5,0.896460357,62,68,30,36,155,68,12.7,11.5,155.340332,169.1446991,0.395682817
07-Jul,9,6,113.16,6.08,1314.17,15.8,19986.5,734.2813064,173,189,23877,0.83706077,58,67,29,37,156,67,12,10.5,157.6124573,172.2612305,0.403540307
07-Jul,10,6,119.54,6.46,1268.605,16.4,23903.5,822.0214208,222,169,28357,0.842948831,60,65,24,35,174,65,14.4,12.8,163.2589722,200.4781342,0.580376858
07-Jul,11,6,107.75,6.38,1316.53,15.6,30699,877.0924885,249,192,35091,0.874839702,63,67,25,33,172,67,18,16,176.5189514,237.5341644,0.669146193
07-Jul,12,6,98.93,5.59,1091.664,14.6,24216.5,829.6538898,223,166,27749,0.872698115,66,69,26,32,169,70,13.3,11.9,156.5577545,207.65271,0.656942894
07-Jul,13,6,133.55,7.4,1449.68,15.7,23770.5,743.0508584,199,182,27069.5,0.878128521,60,65,25,34,168,65,13.1,11.7,173.6789551,182.3786163,0.305166859
07-Jul,14,6,123.79,6.64,1248.789,15.8,19722,634.3574264,174,171,22029,0.895274411,59,66,28,36,156,66,10.8,8.6,160.209198,163.5742493,0.20179399
07-Jul,15,6,134.99,7.14,1466.24,15.7,22802,677.2102387,207,168,25244,0.903264142,55,61,23,36,169,61,13.1,12,163.1213837,186.6666565,0.486169369
07-Jul,16,6,129.43,7.02,1313.891,15.3,28546.5,982.3056916,271,176,33616,0.849193836,61,65,23,33,179,66,15.3,13.8,158.5733643,246.3910065,0.765375299
07-Jul,17,6,95.39,5.55,1157.49,15.9,26906.5,826.5655771,237,170,31033.5,0.867014678,65,67,22,32,181,68,14.7,11.7,158.7028656,232.5820618,0.731023644
